date,vo2max
2018-07-22,61.0
2018-07-23,61.0
2018-07-24,62.0
2018-07-25,62.0
2018-07-26,63.0
2018-07-27,63.0
2018-07-28,63.0
2018-07-29,63.0
2018-07-30,63.0
2018-07-31,64.0
2018-08-01,64.0
2018-08-02,64.0
2018-08-03,64.0
2018-08-04,63.0
2018-08-05,63.0
2018-08-06,64.0
2018-08-07,64.0
2018-08-18,65.0
2018-08-19,64.0
2018-08-20,64.0
2018-08-21,64.0
2018-08-22,65.0
2018-08-23,65.0
2018-08-24,65.0
2018-08-25,64.0
2018-08-26,64.0
2018-08-27,64.0
2018-08-28,64.0
2018-08-29,65.0
2018-08-30,65.0
2018-08-31,65.0
2018-09-01,64.0
2018-09-02,64.0
2018-09-04,65.0
2018-09-05,65.0
2018-09-06,65.0
2018-09-07,66.0
2018-09-08,65.0
2018-09-09,66.0
2018-09-10,66.0
2018-09-11,66.0
2018-09-16,66.0
2018-09-17,66.0
2018-09-18,66.0
2018-09-19,66.0
2018-09-20,66.0
2018-09-21,66.0
2018-09-22,66.0
2018-09-23,66.0
2018-09-24,67.0
2018-09-25,65.0
2018-09-26,65.0
2018-09-27,65.0
2018-09-28,65.0
2018-09-29,65.0
2018-09-30,66.0
2018-10-01,66.0
2018-10-02,66.0
2018-10-03,66.0
2018-10-04,66.0
2018-10-05,66.0
2018-10-06,66.0
2018-10-07,66.0
2018-10-08,66.0
2018-10-13,66.0
2018-10-14,67.0
2018-10-15,67.0
2018-10-16,67.0
2018-10-17,66.0
2018-10-18,65.0
2018-10-19,66.0
2018-10-20,66.0
2018-10-21,66.0
2018-10-22,66.0
2018-10-23,66.0
2018-10-24,67.0
2018-10-25,67.0
2018-10-26,67.0
2018-10-27,68.0
2018-10-28,68.0
2018-10-29,68.0
2018-10-30,69.0
2018-10-31,69.0
2018-11-01,69.0
2018-11-02,68.0
2018-11-03,69.0
2018-11-04,68.0
2018-11-05,69.0
2018-11-06,69.0
2018-11-07,69.0
2018-11-08,69.0
2018-11-09,69.0
2018-11-10,69.0
2018-11-11,69.0
2018-11-12,70.0
2018-11-13,70.0
2018-11-14,70.0
2018-11-15,70.0
2018-11-16,70.0
2018-11-17,69.0
2018-11-18,69.0
2018-11-19,70.0
2018-11-20,70.0
2018-11-21,70.0
2018-11-22,70.0
2018-11-23,69.0
2018-11-24,69.0
2018-11-25,69.0
2018-11-26,70.0
2018-11-27,70.0
2018-11-29,71.0
2018-11-30,71.0
2018-12-01,71.0
2018-12-02,71.0
2018-12-03,72.0
2018-12-05,71.0
2018-12-06,71.0
2018-12-07,68.0
2018-12-08,68.0
2018-12-10,67.0
2018-12-11,68.0
2018-12-12,69.0
2018-12-13,70.0
2018-12-14,70.0
2018-12-15,71.0
2018-12-16,70.0
2018-12-17,69.0
2018-12-18,69.0
2018-12-20,67.0
2018-12-21,67.0
2018-12-25,67.0
2018-12-26,66.0
2018-12-28,67.0
2018-12-29,66.0
2018-12-30,67.0
2018-12-31,68.0
2019-01-01,69.0
2019-01-02,69.0
2019-01-03,68.0
2019-01-06,69.0
2019-01-07,69.0
2019-01-08,70.0
2019-02-02,70.0
2019-02-03,70.0
2019-02-04,70.0
2019-02-06,70.0
2019-02-07,71.0
2019-02-09,71.0
2019-02-10,71.0
2019-02-11,71.0
2019-02-13,71.0
2019-02-14,71.0
2019-02-15,71.0
2019-02-16,71.0
2019-02-17,70.0
2019-02-19,71.0
2019-02-21,72.0
2019-02-22,72.0
2019-02-23,72.0
2019-02-24,72.0
2019-02-26,72.0
2019-02-27,72.0
2019-02-28,73.0
2019-03-01,73.0
2019-03-02,72.0
2019-03-03,72.0
2019-03-04,72.0
2019-03-12,72.0
2019-03-13,71.0
2019-03-14,71.0
2019-03-15,70.0
2019-03-16,70.0
2019-03-17,70.0
2019-03-19,70.0
2019-03-20,70.0
2019-03-21,70.0
2019-03-22,70.0
2019-03-23,69.0
2019-03-24,69.0
2019-03-25,68.0
2019-03-26,69.0
2019-03-27,68.0
2019-03-28,68.0
2019-03-29,68.0
2019-03-30,68.0
2019-03-31,68.0
2019-04-01,68.0
2019-04-02,67.0
2019-04-03,67.0
2019-04-04,65.0
2019-04-05,62.0
2019-04-06,62.0
2019-04-07,65.0
2019-04-08,66.0
2019-04-09,68.0
2019-04-10,68.0
2019-04-11,70.0
2019-04-12,70.0
2019-04-14,69.0
2019-04-15,69.0
2019-04-17,69.0
2019-04-18,68.0
2019-04-21,68.0
2019-04-22,67.0
2019-04-23,68.0
2019-04-24,68.0
2019-04-25,69.0
2019-04-26,68.0
2019-04-27,67.0
2019-04-28,68.0
2019-04-29,68.0
2019-04-30,67.0
2019-05-01,67.0
2019-05-03,66.0
2019-05-04,67.0
2019-05-05,68.0
2019-05-06,68.0
2019-05-07,69.0
2019-05-08,69.0
2019-05-09,68.0
2019-05-11,68.0
2019-05-12,66.0
2019-05-13,66.0
2019-05-14,69.0
2019-05-15,68.0
2019-05-16,69.0
2019-05-17,69.0
2019-05-18,70.0
2019-05-19,70.0
2019-05-20,69.0
2019-05-21,69.0
2019-05-22,68.0
2019-05-23,68.0
2019-05-24,69.0
2019-05-25,69.0
2019-05-27,69.0
2019-05-28,70.0
2019-05-29,69.0
2019-05-30,69.0
2019-05-31,69.0
2019-06-01,69.0
2019-06-02,69.0
2019-06-03,69.0
2019-06-04,70.0
2019-06-05,69.0
2019-06-06,69.0
2019-06-08,69.0
2019-06-09,69.0
2019-06-10,69.0
2019-06-11,69.0
2019-06-12,68.0
2019-06-13,69.0
2019-06-14,69.0
2019-06-15,69.0
2019-06-16,69.0
2019-06-17,69.0
2019-06-18,69.0
2019-06-19,69.0
2019-06-20,67.0
2019-06-21,68.0
2019-06-22,68.0
2019-06-23,69.0
2019-06-24,68.0
2019-06-25,69.0
2019-06-26,69.0
2019-06-27,68.0
2019-06-28,68.0
2019-06-29,67.0
2019-06-30,68.0
2019-07-01,68.0
2019-07-02,68.0
2019-07-03,68.0
2019-07-04,67.0
2019-07-06,66.0
2019-07-07,67.0
2019-07-08,67.0
2019-07-11,67.0
2019-09-09,67.0
2019-09-11,66.0
2019-09-14,66.0
2019-09-16,65.0
2019-09-18,64.0
2019-09-20,64.0
2019-09-22,64.0
2019-09-24,64.0
2019-09-26,64.0
2019-09-29,63.0
2019-10-13,62.0
2019-10-14,62.0
2019-10-16,63.0
2019-10-18,63.0
2019-10-21,63.0
2019-10-24,65.0
2019-10-27,64.0
2019-10-28,64.0
2019-10-29,64.0
2019-10-30,64.0
2019-10-31,64.0
2019-11-01,63.0
2019-11-04,64.0
2019-11-05,64.0
2019-11-06,64.0
2019-11-07,64.0
2019-11-08,64.0
2019-11-13,64.0
2019-11-15,64.0
2019-11-18,64.0
2019-11-19,63.0
2019-11-20,63.0
2019-11-22,64.0
2019-11-23,64.0
2019-11-26,63.0
2019-11-28,64.0
2019-11-29,64.0
2019-11-30,64.0
2019-12-05,63.0
2019-12-07,62.0
2019-12-09,61.0
2019-12-10,61.0
2019-12-11,61.0
2019-12-12,61.0
2019-12-13,60.0
2019-12-14,61.0
2019-12-16,61.0
2019-12-17,60.0
2019-12-18,60.0
2019-12-20,61.0
2019-12-21,63.0
2019-12-22,65.0
2019-12-23,65.0
2019-12-24,66.0
2019-12-25,65.0
2019-12-26,65.0
2019-12-27,65.0
2019-12-29,64.0
2019-12-30,65.0
2020-01-02,64.0
2020-01-03,64.0
2020-01-04,64.0
2020-01-05,65.0
2020-01-06,64.0
2020-01-07,64.0
2020-01-08,64.0
2020-01-09,65.0
2020-01-10,65.0
2020-01-11,65.0
2020-01-12,65.0
2020-01-13,66.0
2020-01-14,65.0
2020-01-15,65.0
2020-01-16,66.0
2020-01-20,65.0
2020-01-21,65.0
2020-01-23,65.0
2020-01-26,65.0
2020-01-28,65.0
2020-01-30,65.0
2020-01-31,65.0
2020-02-01,65.0
2020-02-02,65.0
2020-02-06,65.0
2020-02-07,65.0
2020-02-08,65.0
2020-02-09,64.0
2020-02-11,63.0
2020-02-13,64.0
2020-02-16,65.0
2020-02-19,64.0
2020-02-23,62.0
2020-02-24,62.0
2020-02-25,63.0
2020-03-02,62.0
2020-03-05,62.0
2020-03-06,62.0
2020-03-07,62.0
2020-03-08,62.0
2020-03-12,63.0
2020-03-13,62.0
2020-03-15,63.0
2020-03-17,63.0
2020-03-21,64.0
2020-03-24,65.0
2020-03-25,64.0
2020-03-29,64.0
2020-03-30,64.0
2020-04-01,64.0
2020-04-02,65.0
2020-04-03,65.0
2020-04-06,64.0
2020-04-07,64.0
2020-04-10,64.0
2020-04-11,63.0
2020-04-12,64.0
2020-04-14,64.0
2020-04-18,63.0
2020-04-19,63.0
2020-04-20,63.0
2020-04-22,62.0
2020-04-26,61.0
2020-04-27,62.0
2020-04-28,61.0
2020-04-30,62.0
2020-05-01,63.0
2020-05-02,62.0
2020-05-03,62.0
2020-05-04,63.0
2020-05-05,63.0
2020-05-06,64.0
2020-05-07,64.0
2020-05-09,63.0
2020-05-10,64.0
2020-05-11,64.0
2020-05-12,64.0
2020-05-13,64.0
2020-05-14,64.0
2020-05-15,64.0
2020-05-16,63.0
2020-05-17,63.0
2020-05-21,63.0
2020-05-22,62.0
2020-05-23,61.0
2020-05-24,60.0
2020-05-25,60.0
2020-05-26,60.0
2020-05-28,61.0
2020-05-29,60.0
2020-05-30,60.0
2020-06-01,61.0
2020-06-02,61.0
2020-06-04,61.0
2020-06-07,60.0
2020-06-09,61.0
2020-06-11,60.0
2020-06-13,60.0
2020-06-15,59.0
2020-06-26,58.0
2020-06-28,60.0
2020-07-02,61.0
2020-07-03,60.0
2020-07-04,60.0
2020-07-06,61.0
2020-07-07,62.0
2020-07-08,61.0
2020-07-09,61.0
2020-07-10,62.0
2020-07-22,62.0
2020-07-23,62.0
2020-07-24,61.0
2020-07-27,61.0
2020-07-28,61.0
2020-07-30,61.0
2020-07-31,62.0
2020-08-01,62.0
2020-08-04,62.0
2020-08-05,62.0
2020-08-06,61.0
2020-08-27,61.0
2020-08-29,62.0
2020-08-30,62.0
2020-09-01,63.0
2020-09-02,64.0
2020-09-05,64.0
2020-09-09,63.0
2020-09-15,64.0
2020-09-19,64.0
2020-09-22,65.0
2020-09-26,62.0
2020-10-02,62.0
2020-10-08,62.0
2020-10-15,62.0
2020-10-17,62.0
2020-10-20,62.0
2020-10-21,62.0
2020-10-22,62.0
2020-10-24,62.0
2020-10-28,63.0
2020-10-31,63.0
2020-11-01,64.0
2020-11-04,64.0
2020-11-05,64.0
2020-11-07,63.0
2020-11-08,63.0
2020-11-10,64.0
2020-11-11,63.0
2020-11-13,64.0
2020-11-14,64.0
2020-11-15,62.0
2020-11-16,62.0
2020-11-18,63.0
2020-11-19,65.0
2020-11-20,64.0
2020-11-21,65.0
2020-11-23,66.0
2020-11-24,66.0
2020-11-27,65.0
2020-11-28,65.0
2020-11-29,65.0
2020-12-01,64.0
2020-12-02,64.0
2020-12-03,64.0
2020-12-04,64.0
2020-12-06,64.0
2020-12-10,63.0
2020-12-13,63.0
2020-12-16,61.0
2020-12-18,61.0
2020-12-20,58.0
2020-12-23,59.0
2020-12-26,60.0
2020-12-27,60.0
2020-12-28,54.0
2020-12-30,55.0
2021-01-01,57.0
2021-01-02,55.0
2021-01-05,57.0
2021-01-07,57.0
2021-01-09,60.0
2021-01-10,61.0
2021-01-11,62.0
2021-01-12,62.0
2021-01-13,63.0
2021-01-14,65.0
2021-01-15,65.0
2021-01-17,66.0
2021-01-18,66.0
2021-01-19,64.0
2021-01-20,64.0
2021-01-22,64.0
2021-01-23,64.0
2021-01-24,63.0
2021-01-25,65.0
2021-01-27,66.0
2021-01-29,65.0
2021-01-30,66.0
2021-01-31,66.0
2021-02-01,65.0
2021-02-02,64.0
2021-02-04,63.0
2021-02-06,59.0
2021-02-08,60.0
2021-02-09,62.0
2021-02-11,62.0
2021-02-13,62.0
2021-02-14,63.0
2021-02-15,56.0
2021-02-16,62.0
2021-02-17,63.0
2021-02-18,59.0
2021-02-19,59.0
2021-02-20,60.0
2021-02-21,59.0
2021-02-22,61.0
2021-02-23,62.0
2021-02-24,63.0
2021-02-25,63.0
2021-02-26,65.0
2021-02-28,65.0
2021-03-01,65.0
2021-03-03,66.0
2021-03-04,61.0
2021-03-05,60.0
2021-03-06,61.0
2021-03-07,60.0
2021-03-08,58.0
2021-03-09,60.0
2021-03-10,60.0
2021-03-11,61.0
2021-03-12,61.0
2021-03-13,62.0
2021-03-14,61.0
2021-03-15,61.0
2021-03-16,63.0
2021-03-17,63.0
2021-03-18,62.0
2021-03-19,57.0
2021-03-20,55.0
2021-03-21,56.0
2021-03-22,59.0
2021-03-23,61.0
2021-03-24,62.0
2021-03-25,62.0
2021-03-26,62.0
2021-03-27,63.0
2021-03-28,63.0
2021-03-29,63.0
2021-03-30,64.0
2021-03-31,64.0
2021-04-01,64.0
2021-04-03,61.0
2021-04-06,62.0
2021-04-07,64.0
2021-04-08,65.0
2021-04-09,66.0
2021-04-10,66.0
2021-04-11,66.0
2021-04-12,66.0
2021-04-13,66.0
2021-04-18,64.0
2021-04-19,63.0
2021-04-20,63.0
2021-04-23,63.0
2021-04-24,63.0
2021-04-25,63.0
2021-04-26,64.0
2021-04-27,64.0
2021-04-28,63.0
2021-04-29,63.0
2021-04-30,64.0
2021-05-02,64.0
2021-05-03,64.0
2021-05-04,65.0
2021-05-06,65.0
2021-05-07,64.0
2021-05-08,65.0
2021-05-09,65.0
2021-05-10,65.0
2021-05-11,65.0
2021-05-12,62.0
2021-05-13,61.0
2021-05-14,62.0
2021-05-15,63.0
2021-05-16,63.0
2021-05-17,63.0
2021-05-18,63.0
2021-05-22,64.0
2021-05-24,65.0
2021-05-25,66.0
2021-05-26,64.0
2021-05-27,63.0
2021-05-29,61.0
2021-06-01,63.0
2021-06-02,63.0
2021-06-04,63.0
2021-06-06,60.0
2021-06-07,62.0
2021-06-08,62.0
2021-06-09,63.0
2021-06-10,64.0
2021-06-11,63.0
2021-06-12,63.0
2021-06-13,64.0
2021-06-14,60.0
2021-06-15,60.0
2021-06-16,62.0
2021-06-17,62.0
2021-06-18,58.0
2021-06-19,61.0
2021-06-21,63.0
2021-06-22,63.0
2021-06-23,64.0
2021-06-24,65.0
2021-06-25,63.0
2021-06-26,64.0
2021-06-27,64.0
2021-06-28,64.0
2021-06-29,64.0
2021-06-30,64.0
2021-07-01,60.0
2021-07-05,52.0
2021-07-08,54.0
2021-07-09,56.0
2021-07-13,57.0
2021-07-14,57.0
2021-07-15,60.0
2021-07-16,60.0
2021-07-17,61.0
2021-07-19,62.0
2021-07-20,63.0
2021-07-21,62.0
2021-07-22,62.0
2021-07-23,62.0
2021-07-24,60.0
2021-07-27,61.0
2021-07-28,62.0
2021-07-30,62.0
2021-07-31,58.0
2021-08-01,59.0
2021-08-02,61.0
2021-08-03,62.0
2021-08-06,64.0
2021-08-08,65.0
2021-08-09,65.0
2021-08-13,65.0
2021-08-14,65.0
2021-08-15,66.0
2021-08-16,66.0
2021-08-17,67.0
2021-08-18,67.0
2021-08-19,67.0
2021-08-20,66.0
2021-08-23,66.0
2021-08-24,66.0
2021-08-25,66.0
2021-08-27,66.0
2021-08-28,66.0
2021-08-29,66.0
2021-08-30,67.0
2021-08-31,66.0
2021-09-01,67.0
2021-09-02,67.0
2021-09-03,67.0
2021-09-04,68.0
2021-09-05,68.0
2021-09-07,68.0
2021-09-08,67.0
2021-09-09,67.0
2021-09-10,68.0
2021-09-11,69.0
2021-09-12,69.0
2021-09-13,68.0
2021-09-14,66.0
2021-09-15,66.0
2021-09-18,67.0
2021-09-19,68.0
2021-09-20,68.0
2021-09-22,68.0
2021-09-23,68.0
2021-09-24,68.0
2021-09-25,68.0
2021-09-26,68.0
2021-09-28,67.0
2021-09-29,68.0
2021-09-30,68.0
2021-10-01,65.0
2021-10-02,66.0
2021-10-03,66.0
2021-10-06,66.0
2021-10-07,68.0
2021-10-08,68.0
2021-10-10,68.0
2021-10-11,68.0
2021-10-12,68.0
2021-10-13,68.0
2021-10-14,68.0
2021-10-17,67.0
2021-10-19,67.0
2021-10-20,66.0
2021-10-23,65.0
2021-10-24,65.0
2021-10-26,65.0
2021-10-28,66.0
2021-10-30,66.0
2021-10-31,66.0
2021-11-01,65.0
2021-11-04,67.0
2021-11-05,67.0
2021-11-06,67.0
2021-11-07,68.0
2021-11-09,68.0
2021-11-10,68.0
2021-11-11,68.0
2021-11-13,67.0
2021-11-14,67.0
2021-11-15,67.0
2021-11-17,67.0
2021-11-18,66.0
2021-11-19,67.0
2021-11-20,67.0
2021-11-21,67.0
2021-11-23,67.0
2021-11-24,67.0
2021-11-25,67.0
2021-11-27,65.0
2021-11-28,66.0
2021-11-30,66.0
2021-12-01,67.0
2021-12-16,68.0
2021-12-17,68.0
2021-12-18,67.0
2021-12-20,67.0
2021-12-21,65.0
2021-12-22,65.0
2021-12-23,65.0
2021-12-25,64.0
2021-12-26,64.0
2021-12-29,65.0
2021-12-30,66.0
2021-12-31,67.0
2022-01-02,68.0
2022-01-03,68.0
2022-01-04,67.0
2022-01-05,68.0
2022-01-06,68.0
2022-01-08,68.0
2022-01-09,68.0
2022-01-11,68.0
2022-01-12,68.0
2022-01-13,68.0
2022-01-14,68.0
2022-01-17,67.0
2022-01-19,67.0
2022-01-20,68.0
2022-01-21,68.0
2022-01-22,69.0
2022-01-23,69.0
2022-01-24,68.0
2022-01-25,68.0
2022-01-26,68.0
2022-01-27,68.0
2022-01-28,68.0
2022-01-30,67.0
2022-01-31,66.0
2022-02-01,67.0
2022-02-02,66.0
2022-02-03,67.0
2022-02-05,67.0
2022-02-06,67.0
2022-02-08,66.0
2022-02-09,67.0
2022-02-10,67.0
2022-02-11,67.0
2022-02-12,67.0
2022-02-18,67.0
2022-02-19,67.0
2022-02-20,67.0
2022-02-21,66.0
2022-02-22,66.0
2022-02-23,64.0
2022-02-26,64.0
2022-02-28,65.0
2022-03-01,67.0
2022-03-02,66.0
2022-03-04,67.0
2022-03-06,67.0
2022-03-07,64.0
2022-03-08,65.0
2022-03-09,65.0
2022-03-11,66.0
2022-03-13,67.0
2022-03-21,67.0
2022-03-22,65.0
2022-03-23,66.0
2022-03-24,65.0
2022-03-25,65.0
2022-03-26,65.0
2022-03-27,65.0
2022-04-02,65.0
2022-04-03,61.0
2022-04-04,61.0
2022-04-05,63.0
2022-04-08,65.0
2022-04-09,66.0
2022-04-10,65.0
2022-04-11,65.0
2022-04-12,65.0
2022-04-15,65.0
2022-04-16,65.0
2022-04-17,65.0
2022-04-19,65.0
2022-04-20,66.0
2022-04-21,65.0
2022-04-22,66.0
2022-04-23,66.0
2022-04-24,65.0
2022-04-25,66.0
2022-04-26,66.0
2022-04-27,67.0
2022-04-28,67.0
2022-04-30,67.0
2022-05-01,67.0
2022-05-02,68.0
2022-05-03,68.0
2022-05-04,68.0
2022-05-05,68.0
2022-05-08,68.0
2022-05-09,68.0
2022-05-15,68.0
2022-05-17,68.0
2022-05-18,68.0
2022-05-19,69.0
2022-05-20,70.0
2022-05-21,69.0
2022-05-23,69.0
2022-05-25,69.0
2022-05-26,70.0
2022-05-27,70.0
2022-06-06,70.0
2022-06-07,70.0
2022-06-08,69.0
2022-06-09,69.0
2022-06-10,68.0
2022-06-14,68.0
2022-06-15,68.0
2022-06-18,68.0
2022-06-21,68.0
2022-06-24,68.0
2022-06-28,69.0
2022-06-30,67.0
2022-07-29,64.98
2022-08-03,65.83
2022-08-04,66.0
2022-08-05,67.0
2022-08-11,66.0
2022-08-12,66.0
2022-08-13,66.0
2022-08-15,66.0
2022-08-16,66.0
2022-08-17,66.0
2022-08-18,66.0
2022-08-20,67.0
2022-08-22,67.0
2022-08-23,68.0
2022-08-25,68.0
2022-08-26,67.0
2022-08-28,67.0
2022-08-29,66.0
2022-08-30,65.0
2022-08-31,66.0
2022-09-01,65.0
2022-09-03,67.0
2022-09-04,67.0
2022-09-05,67.0
2022-09-06,69.0
2022-09-07,68.0
2022-09-08,68.0
2022-09-09,65.0
2022-09-10,66.0
2022-09-12,66.0
2022-09-13,66.0
2022-09-14,67.0
2022-09-15,67.0
2022-09-16,65.0
2022-09-17,66.0
2022-09-18,67.0
2022-09-19,67.0
2022-09-20,69.0
2022-09-21,69.0
2022-09-22,69.0
2022-09-25,70.0
2022-09-26,69.0
2022-09-27,69.0
2022-09-28,69.0
2022-09-29,68.0
2022-09-30,69.0
2022-10-03,69.0
2022-10-04,71.0
2022-10-05,70.0
2022-10-06,70.0
2022-10-07,70.0
2022-10-08,64.0
2022-10-10,64.0
2022-10-11,65.0
2022-10-12,65.0
2022-10-13,64.0
2022-10-14,64.0
2022-10-15,65.0
2022-10-16,67.0
2022-10-17,67.0
2022-10-19,67.0
2022-10-24,67.0
2022-10-25,67.0
2022-10-27,67.0
2022-10-28,67.0
2022-10-29,67.0
2022-10-31,68.0
2022-11-01,68.0
2022-11-03,68.0
2022-11-05,67.0
2022-11-12,67.0
2022-11-13,65.0
2022-11-22,65.0
2022-11-24,65.0
2022-11-26,64.0
2022-11-27,65.0
2022-12-04,65.0
2022-12-05,65.0
2022-12-06,66.32
2022-12-17,66.27
2022-12-22,66.78
2022-12-23,66.79
2022-12-25,66.6
2022-12-27,66.61
2022-12-28,66.57
2022-12-31,66.61
2023-01-01,66.63
2023-01-03,66.78
2023-01-05,66.83
2023-01-06,66.89
2023-01-07,66.87
2023-01-08,66.78
2023-01-09,67.0
2023-01-10,67.03
2023-01-12,67.16
2023-01-13,67.22
2023-01-15,67.29
2023-01-17,67.3
2023-01-20,67.39
2023-01-21,67.39
2023-01-22,67.44
2023-01-23,67.41
2023-01-25,67.38
2023-01-27,67.33
2023-01-28,67.32
2023-01-29,67.44
2023-01-30,67.49
2023-02-04,67.47
2023-02-05,67.48
2023-02-06,67.47
2023-02-07,67.69
2023-02-09,67.61
2023-02-10,67.65
2023-02-11,67.5
2023-02-12,67.56
2023-02-13,67.59
2023-02-14,67.64
2023-02-15,67.67
2023-02-16,67.66
2023-02-18,67.67
2023-02-19,67.7
2023-02-20,67.79
2023-02-21,67.84
2023-02-22,67.79
2023-02-24,67.72
2023-02-25,67.71
2023-02-26,67.69
2023-02-27,67.69
2023-03-01,67.64
2023-03-02,67.51
2023-03-03,67.49
2023-03-04,67.49
2023-03-05,67.49
2023-03-06,67.36
2023-03-07,67.4
2023-03-09,67.36
2023-03-10,67.39
2023-03-11,67.4
2023-03-18,67.39
2023-03-19,67.24
2023-03-20,67.12
2023-03-21,67.12
2023-03-22,67.0
2023-03-24,67.0
2023-03-25,66.98
2023-04-01,66.82
2023-04-02,66.76
2023-04-03,66.6
2023-04-04,66.53
2023-04-06,66.49
2023-04-07,66.47
2023-04-08,66.4
2023-04-09,66.41
2023-04-10,66.41
2023-04-11,66.37
2023-04-12,66.35
2023-04-20,66.39
2023-05-06,66.42
2023-05-08,66.35
2023-05-09,66.32
2023-05-10,66.32
2023-05-11,66.29
2023-05-12,66.27
2023-05-13,66.27
2023-05-14,66.28
2023-05-15,66.3
2023-05-16,66.32
2023-05-17,66.43
2023-05-18,66.38
2023-05-19,66.34
2023-05-21,66.46
2023-05-22,66.45
2023-05-23,66.53
