sex,age_low,age_high,group,mets_low,mets_high,vo2max_low,vo2max_high
F,18,19,low,,10,,35
F,20,29,low,,8,,28
F,30,39,low,,7.7,,26.95
F,40,49,low,,7.4,,25.9
F,50,59,low,,7,,24.5
F,60,69,low,,6,,21
F,70,79,low,,5,,17.5
F,80,90,low,,4.4,,15.4
F,18,19,below_avg,10,11,35,38.5
F,20,29,below_avg,8,9.9,28,34.65
F,30,39,below_avg,7.7,9.3,26.95,32.55
F,40,49,below_avg,7.4,8.9,25.9,31.15
F,50,59,below_avg,7,8,24.5,28
F,60,69,below_avg,6,6.9,21,24.15
F,70,79,below_avg,5,5.9,17.5,20.65
F,80,90,below_avg,4.4,5.4,15.4,18.9
F,18,19,above_avg,11.1,12.9,38.85,45.15
F,20,29,above_avg,10,11.4,35,39.9
F,30,39,above_avg,9.4,10.8,32.9,37.8
F,40,49,above_avg,9,10.3,31.5,36.05
F,50,59,above_avg,8.1,9.9,28.35,34.65
F,60,69,above_avg,7,8.4,24.5,29.4
F,70,79,above_avg,6,6.9,21,24.15
F,80,90,above_avg,5.5,6.2,19.25,21.7
F,18,19,high,13,14.9,45.5,52.15
F,20,29,high,11.5,14.2,40.25,49.7
F,30,39,high,10.9,13.6,38.15,47.6
F,40,49,high,10.4,13.2,36.4,46.2
F,50,59,high,10,12.9,35,45.15
F,60,69,high,8.5,11,29.75,38.5
F,70,79,high,7,9.9,24.5,34.65
F,80,90,high,6.3,8.3,22.05,29.05
F,18,19,elite,15,,52.5,
F,20,29,elite,14.3,,50.05,
F,30,39,elite,13.7,,47.95,
F,40,49,elite,13.3,,46.55,
F,50,59,elite,13,,45.5,
F,60,69,elite,11.1,,38.85,
F,70,79,elite,10,,35,
F,80,90,elite,8.4,,29.4,
M,18,19,low,,10.8,,37.8
M,20,29,low,,10.3,,36.05
M,30,39,low,,10,,35
M,40,49,low,,9.8,,34.3
M,50,59,low,,8.2,,28.7
M,60,69,low,,7,,24.5
M,70,79,low,,6,,21
M,80,90,low,,5.1,,17.85
M,18,19,below_avg,10.8,12.9,37.8,45.15
M,20,29,below_avg,10.3,11.9,36.05,41.65
M,30,39,below_avg,10,11.1,35,38.85
M,40,49,below_avg,9.8,10.9,34.3,38.15
M,50,59,below_avg,8.2,9.9,28.7,34.65
M,60,69,below_avg,7,8.4,24.5,29.4
M,70,79,below_avg,6,6.9,21,24.15
M,80,90,below_avg,5.1,6.2,17.85,21.7
M,18,19,above_avg,13,13.9,45.5,48.65
M,20,29,above_avg,12,13.6,42,47.6
M,30,39,above_avg,11.2,12.9,39.2,45.15
M,40,49,above_avg,11,12.4,38.5,43.4
M,50,59,above_avg,10,11.3,35,39.55
M,60,69,above_avg,8.5,9.9,29.75,34.65
M,70,79,above_avg,7,8.4,24.5,29.4
M,80,90,above_avg,6.3,7.2,22.05,25.2
M,18,19,high,14,16.2,49,56.7
M,20,29,high,13.7,15.6,47.95,54.6
M,30,39,high,13,14.9,45.5,52.15
M,40,49,high,12.5,14.6,43.75,51.1
M,50,59,high,11.4,13.9,39.9,48.65
M,60,69,high,10,12.9,35,45.15
M,70,79,high,8.5,11.4,29.75,39.9
M,80,90,high,7.3,9.9,25.55,34.65
M,18,19,elite,16.3,,57.05,
M,20,29,elite,15.7,,54.95,
M,30,39,elite,15,,52.5,
M,40,49,elite,14.7,,51.45,
M,50,59,elite,14,,49,
M,60,69,elite,13,,45.5,
M,70,79,elite,11.5,,40.25,
M,80,90,elite,10,,35,